Year	num_days
1947	25720
1948	26127
1949	43420
1950	30390
1951	15070
1952	48820
1953	18130
1954	16630
1955	21180
1956	26840
1957	10340
1958	17900
1959	60850
1960	13260
1961	10140
1962	11760
1963	10020
1964	16220
1965	15140
1966	16000
1967	31320
1968	35367
1969	29397
1970	52761
1971	35538
1972	16764
1973	16260
1974	31809
1975	17563
1976	23962
1977	21258
1978	23774
1979	20409
1980	20844
1981	16908.4
1982	9061.2
1983	17460.7
1984	8498.8
1985	7079.1
1986	11860.5
1987	4481.4
1988	4381.4
1989	16996.3
1990	5926.1
1991	4583.6
1992	3989
1993	3981.2
1994	5020.5
1995	5771.2
1996	4888.6
1997	4497.1
1998	5115.7
1999	1995.8
2000	20419.4
2001	1151.3
2002	659.6
2003	4091.2
2004	3344.1
2005	1736.1
2006	2687.5
2007	1264.8
2008	1954.1
2009	124.1
2010	302.3
2011	1020.2
2012	1130.8
2013	289.9
2014	200.2
2015	740
2016	1543.4
2017	439.8
2018	2815.4
2019	3244.3
